date,symbol,impact_score
2019-01-14,A,0
2019-01-15,A,0
2019-01-16,A,-1
2019-02-13,A,0
2019-02-14,A,0
2019-02-15,A,0
2019-02-20,A,1
2019-02-21,A,0
2019-02-22,A,0
2019-02-25,A,1
2019-02-26,A,-1
2019-03-22,A,-2
2019-03-25,A,1
2019-03-26,A,0
2019-05-01,A,0
2019-05-02,A,2
2019-05-03,A,0
2019-05-07,A,-2
2019-05-08,A,0
2019-05-09,A,1
2019-05-14,A,2
2019-05-15,A,-3
2019-05-16,A,3
2019-06-13,A,0
2019-06-14,A,0
2019-06-17,A,0
2019-08-07,A,0
2019-08-08,A,0
2019-08-09,A,0
2019-08-12,A,-2
2019-08-13,A,0
2019-08-14,A,1
2019-08-15,A,3
2019-08-16,A,0
2019-08-19,A,0
2019-09-10,A,1
2019-09-11,A,2
2019-09-12,A,0
2019-09-13,A,0
2019-09-16,A,0
2019-09-17,A,-2
2019-09-18,A,2
2019-11-18,A,0
2019-11-19,A,2
2019-11-20,A,0
2019-11-25,A,0
2019-11-26,A,1
2019-11-27,A,0
2019-11-29,A,0
2019-12-04,A,0
2019-12-05,A,0
2019-12-06,A,0
2019-12-09,A,0
2019-12-13,A,-2
2019-12-16,A,0
2019-12-17,A,-1
